A.	Adolf (i regentbeteckning)
nyisl.	nyisländsk(-t, -a), nyisländska
Nyl.	Nyland
nylat.	nylatinsk(-t, -a), nylatin
nysv.	nysvensk(-t, -a), nysvenska
näml.	nämligen

O.	Oskar (i regentbeteckning)
o.	och
obest.	obestämd (obestämt, obestämda), (i) obestämd form
obj.	objekt(-et, -en);
obl.	oblik(-t, a)
obr.	obruklig(-t, -a)
*obst.	se obstetr.
obstetr.	term inom obstetriken
oböjl.	oböjlig(-t, -a)
o. d.	och dylikt
*odont.	se odontol.
odontol.	odontologisk term
o. dyl.	och dylikt
oeg.	oegentlig(-t, -a), i oegentlig användning
oftalm.	oftalmiatrisk term
opers.	opersonligt
opt.	term inom optiken
ordspr.	ordspråk
orgelb.	orgelbyggarterm
orig.	original(-et, -en)
osk.	oskisk(-t, -a), oskiska
osv.	och så vidare

p.	particip
p. adj.	participiellt adjektiv
*paleont.	se paleontol.
paleontol.	paleontologisk term
paleozool.	paleozoologisk term
participbildn.	participbildning(-en, -ar, -arna)
pass.	passiv(-t, -a), (i) passiv form, passivum;
patol.	patologisk term
*ped.	se pedag.
pedag.	pedagogisk term
pers.	personlig(-t, -a), person
personobj.	personobjekt(-et, -en)
personsubj.	personsubjekt(-et, -en)
*petrogr.	petrografisk term
pf.	perfektum
pl.	pluralis
plåtsl.	plåtslagarterm
pol.	polsk(-t, -a), polska
polit.	term inom politiken, politisk term
port.	portugisisk(-t, -a), portugisiska
poss.	possessiv(-t, -a);
post.	term inom postväsendet
p. pf.	perfektparticip
p. pr.	presensparticip
pr.	presens
prep.	preposition
prep.-uttr.	prepositionsuttryc
pret.	preteritum
pron.	pronomen
prov.	provensalsk(-t, -a), provensalska
psykiatr.	psykiatrisk term
psykol.	psykologisk term

r.	realgenus, reale
*radio.	radioteknisk term
*radiot.	radioteknisk term
recipr.	reciprok(-t, -a)
refl.	reflexiv verbform, reflexiv(-t, -a)
rel.	relativ(-t, -a)
*rel.-hist.	religionshistorisk term
relig.	religionshistorisk term, religionsvetenskaplig term
*rel.-vet.	religionsvetenskaplig term
repslag.	repslagarterm
resp.	respektive
retor.	term inom retoriken
*ridk.	term inom ridkonsten
riksspr.	riksspråk(-et)
rundan.	rundanska
runsv.	runsvenska
ry.	rysk(-t, -a), ryska
Ryssl.	Ryssland
räkn.	räkneord
*rättsfil.	se rättsfilos.
rättsfilos.	rättsfilosofisk term
rättshist.	rättshistorisk term

s.	sida
*s. a.	sine anno (utan uppgift om tryckår)
sadelm.	sadelmakarterm
sakobj.	sakobjekt(-et, -en)
saksubj.	saksubjekt(-et, -en)
sam.	samisk(-t, -a), samiska
samhällsv.	samhällsvetenskaplig term
sannol.	sannolikt
sanskr.	sanskrit
sbst.	substantiv
semit.	semitisk(-t, -a)
sengr.	sengrekisk(-t, -a), sengrekiska
senlat.	senlatinsk(-t, -a), senlatin
serb.	serbisk(-t, -a), serbiska
sg.	singularis
shetl.	shetländsk(-t, -a), shetländska
sht.	synnerhet
*simn.	term inom simningen, term inom simsporten
*sistn.	sistnämnda
sjukgymn.	term inom sjukgymnastiken
Själl.	Själland
sjömil.	sjömilitär term
sjöt.	sjöterm
s. k.	så kallad (så kallat, så kallade)
skeppsb.	skeppsbyggeriterm
*skjutk.	term inom "skjutkonsten", skytteterm
*skjutv.	skjutvapenterm
skogsv.	term inom skogsväsendet
skom.	skomakarterm
Skottl.	Skottland
*skr.	skrift(-er)
skrädd.	skräddarterm
skämts.	skämtsamt
*s. l.	sine loco (utan uppgift om tryckort)
slakt.	slaktterm
slav.	slavisk(-t, -a)
slovak.	slovakisk(-t, -a), slovakiska
sloven.	slovensk(-t, -a), slovenska
slutart.	slutartikel(-keln, -klar, -klarna)
slöjd.	slöjdterm
Smål.	Småland
snick.	snickarterm
snörm.	snörmakarterm
*socialpolit.	socialpolitisk term
sociol.	sociologisk term
*sockerbag.	"sockerbageriterm", konditoriterm
sorb.	sorbisk(-t, -a), sorbiska
sot.	sotarterm
sp.	spalt(-en, -er)
span.	spansk(-t, -a), spanska
specialanv.	specialanvändning (-en, -ar, -arna)
spelt.	spelterm
sport	sportterm
spr.	språk
språkv.	språkvetenskaplig term
spårv.	spårvägsterm
ss.	såsom
ssg(n)	sammansättning(en)
ssgr(na)	sammansättningar(na)
ssgsform	sammansättningsform
ssgsled	sammansättningsled
ssgstyp	sammansättningstyp
*sskr.	sammanskriven (-et, -na)
*sskr.	sammanskrivning
ssp.	subspecies (underart)
s:t	sankt
statist.	statistisk term
statsv.	statsvetenskaplig term
stenhugg.	stenhuggarterm
Sthm	Stockholm
stilist.	term inom stilistiken
st. v.	starkt verb
subj.	subjekt(-et, -en)
sup.	supinum
superl.	superlativ
Sv.	Sverige
sv.	(nysvensk(-t, -a), (ny)svenska
Sveal.	Svealand
*Svld	se Sveal.
sv. v.	svagt verb
syr.	syrisk(-t, -a), syriska
sälls.	sällsynt(-a)
särsk.	särskilt
särsk. förb.	särskild förbindelse, (särskilda förbindelsen, särskilda förbindelser, särskilda förbindelserna)
Södermanl.	Södermanland
sömn.	sömnadsterm

t	ton
t.	(ny)högtysk(-t, -a), (ny)högtyska
*tandtekn.	se odontol.
teat.	teaterterm
tekn.	teknisk term, teknologisk term
tele.	term inom telefoni l. telegrafi l. teleteknik
*telef.	term inom telefoni
*telegr.	term inom telegrafi
teol.	teologisk term
t. ex.	till exempel
textil.	textilterm
textiltekn.	textilteknisk term
*tidräkn.	term inom tidräkningskonsten, kronologisk term
tillf.	tillfälligt
*timmerm.	timmermansterm
tjeck.	tjeckisk(-t, -a), tjeckiska
tochar.	tocharisk(-t, -a), tochariska
*tonk.	term inom tonkonsten
topogr.	topografisk term
tr.	transitiv(-t, -a), (i) transitiv anv.
trol.	troligen
trädg.	trädgårdsterm
tullv.	term inom tullväsendet
tunnbind.	tunnbindarterm
turk.	turkisk(-t, -a), turkiska
Tyskl.	Tyskland

ukr.	ukrainsk(-t, -a)
ung.	ungersk(-t, -a), ungerska
Uppl.	Uppland
uppl.	upplaga(-an, -or, -orna)
urgerm.	urgermansk(-t, -a), urgermanska
urmak.	urmakarterm
urn.	urnordiska
urspr.	ursprungligen
USA	Förenta staterna
uttr.	uttryck(-et, -en)

*v.	se var.
v.	verb
*vagnmak.	vagnmakarterm
vanl.	vanligen
vap.	vapenterm, vapenhistorisk term
*vapenhist.	vapenhistorisk term
*vapenl.	term inom "vapenläran"
var.	varietas (varietet)
vard.	vardagligt
varigm	varigenom
vbaladj.	verbaladjektiv(-et, -en)
vbalform	verbalform
vbalsbst.	verbalsubstantiv(-et, -en)
v. dep.	deponentiellt verb, deponens
veter.	term inom veterinärväsendet
vulg.	vulgärt
vulgärlat.	vulgärlatinsk(-t, -a), vulgärlatin
*väfn.	se vävn.
Värml.	Värmland
Västerb.	Västerbotten
Västergötl.	Västergötland
Västmanl.	Västmanland
vävn.	vävnadsterm
*växtbiol.	växtbiologisk term

y.	yngre

zool.	zoologisk term

Ångermanl.	Ångermanland
årh.	århundrade(-t, -n)
åtm.	åtminstone
*åtsk.	åtskilliga

ä.	äldre
*äfv.	se äv.
ärftl.	term inom ärftlighetsläran
äv.	även
*öfv.	se öv.

öv.	översättning(-en, -ar, -arna)
